trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.8, 'e': 0.36237201786049694}",30,12,3.259664122339872,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.358748297681892}",25,0,-9.000254656334095,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.8, 'e': 0.35516081470507305}",25,1,-17.843662640236754,"{0: 16, 1: 8, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.8, 'e': 0.3516092065580223}",20,6,11.069528046636771,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.34809311449244207}",20,12,12.767330629829335,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.34461218334751764}",30,11,14.395150899836425,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.34116606151404244}",25,2,0.15594566877774363,"{0: 18, 1: 5, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.337754400898902}",20,15,2.1398906660441197,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.334376856889913}",20,3,22.891170636107145,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.33103308832101386}",20,2,28.49251497449484,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.8, 'e': 0.3277227574378037}",20,15,2.4994829133700502,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.3244455298634257}",20,0,14.360707619964609,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.8, 'e': 0.3212010745647914}",30,0,6.732900562505822,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.8, 'e': 0.3179890638191435}",25,0,12.55652138413325,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.8, 'e': 0.31480917318095203}",20,10,7.565513718672106,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.3116610814491425}",20,0,-44.59343690029701,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
117,False,"{'a': 0.8, 'e': 0.30854447063465107}",25,10,12.824319259512297,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.30545902592830454}",20,0,-25.68795627422147,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.8, 'e': 0.3024044356690215}",25,0,-3.7696092134151646,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.8, 'e': 0.29938039131233124}",25,0,9.504898955331536,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.8, 'e': 0.2963865873992079}",20,0,26.888112939315658,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.8, 'e': 0.29342272152521587}",20,0,23.080698859100423,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.8, 'e': 0.2904884943099637}",25,0,25.315710341142402,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.8, 'e': 0.28758360936686406}",30,0,9.469185372556826,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.8, 'e': 0.2847077732731954}",25,0,20.731941041031877,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.8, 'e': 0.28186069554046345}",25,6,17.00217322470993,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.2790420885850588}",20,0,28.709103345472293,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.8, 'e': 0.2762516676992082}",20,6,10.874159712514713,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8, 'e': 0.27348915102221616}",20,0,7.894581632333702,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.8, 'e': 0.270754259511994}",20,6,11.72390054708213,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.26804671691687404}",25,10,19.715554207035048,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.2653662497477053}",25,1,2.4087662536038605,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.8, 'e': 0.2627125872502282}",30,14,30.74458608785035,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.8, 'e': 0.2600854613777259}",20,7,23.69415879378895,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.2574846067639487}",25,2,28.86208048185165,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.2549097606963092}",30,12,23.144169378713848,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.2523606630893461}",30,17,19.10229416622759,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.24983705645845267}",20,7,-4.653981377240274,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.24733868589386815}",20,0,4.887235757536978,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.24486529903492946}",25,13,15.689422761110935,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.24241664604458016}",30,0,43.319938120496715,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.8, 'e': 0.23999247958413436}",20,6,25.76383906114366,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.8, 'e': 0.23759255478829303}",20,8,11.314035201746098,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.2352166292404101}",20,2,5.778111217599479,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.232864462948006}",35,23,8.988841372656253,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.23053581831852593}",20,16,10.152187796021185,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.22823046013534068}",20,8,0.3161597552921136,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.22594815553398728}",20,10,15.839294753640402,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.22368867397864742}",20,3,24.573318226664256,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.22145178723886094}",20,1,27.761872041346233,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.21923726936647234}",20,3,22.915091744399355,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
